state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
SD,21,1,1,1,1,A,4,740,277,,1,1038,3/22 12:30,3/22 16:11,2020-03-22T16:30:00Z,2020-03-22T20:11:00Z
TN,505,1,1,1,0,B,3,3272,,,2,3777,3/22 15:00,3/23 01:30,2020-03-22T19:00:00Z,2020-03-23T05:30:00Z
TX,334,1,1,1,1,A,4,8422,,,7,8756,3/21 21:00,3/23 01:19,2020-03-22T01:00:00Z,2020-03-23T05:19:00Z
UT,181,1,1,1,1,A,4,3508,,,1,3689,3/22 15:00,3/22 15:40,2020-03-22T19:00:00Z,2020-03-22T19:40:00Z
VA,219,1,1,1,1,A,4,3118,,32,3,3337,3/22 17:00,3/23 01:09,2020-03-22T21:00:00Z,2020-03-23T05:09:00Z
VT,52,1,1,1,1,A,4,1106,,,2,1158,3/22 14:00,3/23 02:34,2020-03-22T18:00:00Z,2020-03-23T06:34:00Z
WA,1996,1,1,1,1,A,4,28879,,,95,30875,3/22 18:00,3/23 01:05,2020-03-22T22:00:00Z,2020-03-23T05:05:00Z
WI,385,1,1,1,1,A,4,6230,,,4,6615,3/22 16:00,3/23 01:04,2020-03-22T20:00:00Z,2020-03-23T05:04:00Z
WV,16,1,1,1,0,B,3,444,4,1,0,464,3/22 19:00,3/23 00:58,2020-03-22T23:00:00Z,2020-03-23T04:58:00Z
WY,26,1,1,1,1,A,4,458,,,,484,3/22 23:00,3/23 01:39,2020-03-23T03:00:00Z,2020-03-23T05:39:00Z
PR,23,1,1,1,1,A,4,183,69,,1,275,3/22 07:00,3/23 01:43,2020-03-22T11:00:00Z,2020-03-23T05:43:00Z
AS,,,,,,,,,,,0,0,3/19 00:00,3/22 16:00,2020-03-19T04:00:00Z,2020-03-22T20:00:00Z
GU,27,,,,,,,126,,,1,153,3/22 07:00,3/23 02:25,2020-03-22T11:00:00Z,2020-03-23T06:25:00Z
MP,0,,,,,,,,,,0,0,3/23 01:30,3/23 02:04,2020-03-23T05:30:00Z,2020-03-23T06:04:00Z
VI,17,,,,,,,,,,0,17,3/22 20:30,3/23 01:07,2020-03-23T00:30:00Z,2020-03-23T05:07:00Z
